Nazov,Pocet slov po spracovani,,min,max,<40000,<10000,<22500
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07068.txt,31456,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07069.txt,22709,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07070.txt,2374,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07071.txt,293,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07072.txt,61112,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07073.txt,272,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07074.txt,306,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07075.txt,25685,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07076.txt,977,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07077.txt,6389,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07078.txt,4981,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07079.txt,956,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07080.txt,645,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07081.txt,47935,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07082.txt,2507,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07083.txt,340,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07084.txt,13696,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07085.txt,628,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07086.txt,5274,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07087.txt,1188,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07088.txt,76336,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07089.txt,71478,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07090.txt,18858,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07091.txt,1189,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07092.txt,19316,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07093.txt,39566,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07094.txt,2013,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07095.txt,260,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07096.txt,23770,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07097.txt,49578,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07098.txt,339,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07099.txt,3430,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07100.txt,18245,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07101.txt,3360,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07102.txt,19767,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07103.txt,35882,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07104.txt,4883,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07105.txt,33937,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07106.txt,2305,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07107.txt,8231,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07108.txt,5803,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07109.txt,50976,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07110.txt,289,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07111.txt,2942,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07112.txt,23605,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07113.txt,7058,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07114.txt,31865,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07115.txt,4871,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07116.txt,308,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07117.txt,2119,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07118.txt,3017,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07119.txt,895,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07120.txt,1939,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07121.txt,2700,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07122.txt,17430,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07123.txt,7189,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07124.txt,16315,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07125.txt,42128,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07126.txt,22188,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07127.txt,1618,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07128.txt,69984,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07129.txt,534,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07130.txt,6343,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07131.txt,15325,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07132.txt,58056,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07133.txt,1930,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07134.txt,61652,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07135.txt,35573,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07136.txt,27914,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07137.txt,2271,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07138.txt,64673,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07139.txt,1706,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07140.txt,339,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07141.txt,18757,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07142.txt,24911,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07143.txt,28722,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07144.txt,29295,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07145.txt,1012,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07146.txt,13090,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07147.txt,630,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07148.txt,50214,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07149.txt,2352,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07150.txt,91376,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07151.txt,531,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07152.txt,1372,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07153.txt,1357,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07154.txt,77828,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07155.txt,329,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07156.txt,2452,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07157.txt,1967,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07158.txt,2413,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07159.txt,294,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07160.txt,9953,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07161.txt,42003,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07162.txt,1457,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07163.txt,3145,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07164.txt,975,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07165.txt,18975,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07166.txt,40417,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07167.txt,652,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07168.txt,21076,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07169.txt,280,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07170.txt,45700,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07171.txt,15391,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07172.txt,40206,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07173.txt,2361,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07174.txt,1078,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07175.txt,271,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07176.txt,21474,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07177.txt,1833,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07178.txt,668,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07179.txt,1171,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07180.txt,310,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07181.txt,22866,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07182.txt,3238,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07183.txt,318,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07184.txt,802,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07185.txt,6994,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07186.txt,55810,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07187.txt,17257,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07188.txt,2766,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07189.txt,2231,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07190.txt,21600,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07191.txt,5896,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07192.txt,846,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07193.txt,11455,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07194.txt,329,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07195.txt,60163,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07196.txt,83767,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07197.txt,8558,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07198.txt,1437,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07199.txt,2537,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07200.txt,9176,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07201.txt,1643,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07202.txt,29757,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07203.txt,27367,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07204.txt,3567,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07205.txt,45573,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07206.txt,58595,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07207.txt,34145,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07208.txt,3787,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07209.txt,2881,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07210.txt,18961,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07211.txt,2343,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07212.txt,2534,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07213.txt,34444,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07214.txt,27232,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07215.txt,1593,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07216.txt,35491,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07217.txt,9224,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07218.txt,17287,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07219.txt,35959,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07220.txt,1704,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07221.txt,70861,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07222.txt,2215,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07223.txt,2321,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07224.txt,8399,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07225.txt,2848,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07226.txt,1446,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07227.txt,1685,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07228.txt,27828,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07229.txt,2369,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07230.txt,583,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07231.txt,39612,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07232.txt,44289,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07233.txt,261,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07234.txt,4503,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07235.txt,3484,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07236.txt,34072,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07237.txt,26428,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07238.txt,33622,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07239.txt,1066,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07240.txt,24657,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07241.txt,33445,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07242.txt,5652,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07243.txt,1903,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07244.txt,3407,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07245.txt,3256,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07246.txt,409,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07247.txt,260,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07248.txt,3288,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07249.txt,25983,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07250.txt,3078,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07251.txt,1317,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07252.txt,26627,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07253.txt,15700,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07254.txt,9756,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07255.txt,5068,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07256.txt,23516,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07257.txt,61685,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07258.txt,2067,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07259.txt,95744,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07260.txt,1803,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07261.txt,36292,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07262.txt,6167,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07263.txt,8269,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07264.txt,33020,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07265.txt,27949,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07266.txt,26599,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07267.txt,377,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07268.txt,48330,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07269.txt,1344,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07270.txt,5495,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07271.txt,3381,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07272.txt,989,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07273.txt,1209,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07274.txt,2667,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07275.txt,30802,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07276.txt,16545,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07277.txt,15870,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07278.txt,5468,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07279.txt,2660,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07280.txt,7420,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07281.txt,46226,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07282.txt,12289,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07283.txt,1963,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07284.txt,40113,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07285.txt,1985,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07286.txt,929,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07287.txt,648,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07288.txt,3180,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07289.txt,10212,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07290.txt,41697,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07291.txt,39316,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07292.txt,25911,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07293.txt,158652,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07294.txt,35449,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07295.txt,52650,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07296.txt,13483,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07297.txt,24982,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07298.txt,2114,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07299.txt,41425,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07300.txt,19214,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07301.txt,3089,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07302.txt,3097,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07303.txt,8565,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07304.txt,322,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07305.txt,9184,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07306.txt,644,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07307.txt,70207,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07308.txt,20756,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07309.txt,24644,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07310.txt,1379,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07311.txt,9190,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07312.txt,2862,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07313.txt,1911,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07314.txt,55508,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07315.txt,1624,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07316.txt,3541,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07317.txt,26219,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07318.txt,27289,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07319.txt,25407,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07320.txt,5079,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07321.txt,27491,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07322.txt,4002,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07323.txt,407,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07324.txt,23414,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07325.txt,9014,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07326.txt,68135,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07327.txt,2604,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07328.txt,440,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07329.txt,1902,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07330.txt,21051,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07331.txt,2206,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07332.txt,52121,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07333.txt,38993,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07334.txt,4533,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07335.txt,3872,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07336.txt,7257,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07337.txt,15090,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07338.txt,12172,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07339.txt,8866,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07340.txt,316,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07341.txt,343,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07342.txt,22952,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07343.txt,2981,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07344.txt,31590,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07345.txt,1893,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07346.txt,3596,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07347.txt,832,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07348.txt,1304,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07349.txt,374,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07350.txt,3474,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07351.txt,32327,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07352.txt,19670,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07353.txt,10856,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07354.txt,29298,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07355.txt,28717,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07356.txt,2964,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07357.txt,37073,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part15\suspicious-document07358.txt,285,,,,,,
